"Sourse","Context","Translation"
"Ties broken by probability of each player dying in a volcano.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічия розірвана через ймовірність смерті кожного гравця в вулкані."
"Ties broken by players\' Hogwarts House.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічию розірвав чиїсь квиток у Хогвартс."
"Ties broken based on your Myers-Briggs test results.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічия розірвана на основі результатів тесту на тип особистості."
"Ties broken by number of unwatched movies in your queue.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічия розірвана за кількістю недоглянутих фільмів в Netflix."
"Ties broken by how we imagine you look dancing.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічия розірвана найкращим танцівником за нашою уявою."
"Ties broken by Stanley Metcalfe, Jackbox VP of Tiebreaking.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічию розірвав ваш ведучий, і ви з цим нічого не зробите."
"Ties broken by your secret middle school crush.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічию розірвала ваша таємна шкільна любов."
"Ties broken by telephone psychic.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічиї не буде через телефонного екстрасенса."
"Ties broken by players\' likelihood of achieving their dreams.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічия розірвана тим, чия мрія швидше за все здійсниться."
"Ties broken by flipping a commemorative coin we stole from an angry old man.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічию вирішували підкиданням пам\'ятної монети, яку ми колись вкрали в злого діда."
